* RCK derivative values
* time_minute  dRCK_dt
55.166667  0.03060647
55.183333  0.03059616
55.200000  0.03058570
55.216667  0.03057509
55.233333  0.03056432
55.250000  0.03055339
55.266667  0.03054231
55.283333  0.03053108
55.300000  0.03051968
55.316667  0.03050813
55.333333  0.03049643
55.350000  0.03048457
55.366667  0.03047255
55.383333  0.03046038
55.400000  0.03044806
55.416667  0.03043557
55.433333  0.03042294
55.450000  0.03041014
55.466667  0.03039719
55.483333  0.03038409
55.500000  0.03037083
55.516667  0.03035741
55.533333  0.03034384
55.550000  0.03033011
55.566667  0.03031623
55.583333  0.03030219
55.600000  0.03028799
55.616667  0.03027364
55.633333  0.03025914
55.650000  0.03024448
55.666667  0.03022966
55.683333  0.03021469
55.700000  0.03019956
55.716667  0.03018427
55.733333  0.03016883
55.750000  0.03015324
55.766667  0.03013749
55.783333  0.03012158
55.800000  0.03010552
55.816667  0.03008930
55.833333  0.03007292
55.850000  0.03005639
55.866667  0.03003971
55.883333  0.03002287
55.900000  0.03000587
55.916667  0.02998872
55.933333  0.02997141
55.950000  0.02995395
55.966667  0.02993633
55.983333  0.02991855
56.000000  0.02990062
56.016667  0.02988254
56.033333  0.02986429
56.050000  0.02984590
56.066667  0.02982734
56.083333  0.02980863
56.100000  0.02978977
56.116667  0.02977075
56.133333  0.02975157
56.150000  0.02973224
56.166667  0.02971275
56.183333  0.02969311
56.200000  0.02967331
56.216667  0.02965336
56.233333  0.02963325
56.250000  0.02961298
56.266667  0.02959256
56.283333  0.02957199
56.300000  0.02955125
56.316667  0.02953036
56.333333  0.02950932
56.350000  0.02948812
56.366667  0.02946677
56.383333  0.02944525
56.400000  0.02942359
56.416667  0.02940177
56.433333  0.02937979
56.450000  0.02935765
56.466667  0.02933537
56.483333  0.02931292
56.500000  0.02929032
56.516667  0.02926756
56.533333  0.02924465
56.550000  0.02922159
56.566667  0.02919836
56.583333  0.02917498
56.600000  0.02915145
56.616667  0.02912776
56.633333  0.02910391
56.650000  0.02907991
56.666667  0.02905575
56.683333  0.02903144
56.700000  0.02900697
56.716667  0.02898235
56.733333  0.02895757
56.750000  0.02893263
56.766667  0.02890754
56.783333  0.02888230
56.800000  0.02885689
56.816667  0.02883134
56.833333  0.02880562
56.850000  0.02877975
56.866667  0.02875373
56.883333  0.02872755
56.900000  0.02870121
56.916667  0.02867472
56.933333  0.02864807
56.950000  0.02862127
56.966667  0.02859431
56.983333  0.02856719
57.000000  0.02853992
57.016667  0.02851250
57.033333  0.02848492
57.050000  0.02845718
57.066667  0.02842929
57.083333  0.02840124
57.100000  0.02837303
57.116667  0.02834467
57.133333  0.02831616
57.150000  0.02828749
57.166667  0.02825866
57.183333  0.02822968
57.200000  0.02820054
57.216667  0.02817124
57.233333  0.02814179
57.250000  0.02811219
57.266667  0.02808243
57.283333  0.02805251
57.300000  0.02802244
57.316667  0.02799221
57.333333  0.02796183
57.350000  0.02793129
57.366667  0.02790059
57.383333  0.02786974
57.400000  0.02783874
57.416667  0.02780757
57.433333  0.02777626
57.450000  0.02774478
57.466667  0.02771316
57.483333  0.02768137
57.500000  0.02764943
57.516667  0.02761733
57.533333  0.02758508
57.550000  0.02755268
57.566667  0.02752011
57.583333  0.02748739
57.600000  0.02745452
57.616667  0.02742149
57.633333  0.02738830
57.650000  0.02735496
57.666667  0.02732147
57.683333  0.02728781
57.700000  0.02725401
57.716667  0.02722004
57.733333  0.02718592
57.750000  0.02715165
57.766667  0.02711722
57.783333  0.02708263
57.800000  0.02704789
57.816667  0.02701299
57.833333  0.02697794
57.850000  0.02694273
57.866667  0.02690736
57.883333  0.02687184
57.900000  0.02683617
57.916667  0.02680034
57.933333  0.02676435
57.950000  0.02672820
57.966667  0.02669191
57.983333  0.02665545
58.000000  0.02661884
58.016667  0.02658208
58.033333  0.02654515
58.050000  0.02650808
58.066667  0.02647084
58.083333  0.02643346
58.100000  0.02639591
58.116667  0.02635821
58.133333  0.02632036
58.150000  0.02628235
58.166667  0.02624418
58.183333  0.02620586
58.200000  0.02616738
58.216667  0.02612875
58.233333  0.02608996
58.250000  0.02605101
58.266667  0.02601191
58.283333  0.02597265
58.300000  0.02593324
58.316667  0.02589367
58.333333  0.02585395
58.350000  0.02581407
58.366667  0.02577404
58.383333  0.02573385
58.400000  0.02569350
58.416667  0.02565300
58.433333  0.02561234
58.450000  0.02557153
58.466667  0.02553056
58.483333  0.02548944
58.500000  0.02544816
58.516667  0.02540672
58.533333  0.02536513
58.550000  0.02532338
58.566667  0.02528148
58.583333  0.02523942
58.600000  0.02519721
58.616667  0.02515484
58.633333  0.02511231
58.650000  0.02506963
58.666667  0.02502680
58.683333  0.02498380
58.700000  0.02494066
58.716667  0.02489735
58.733333  0.02485389
58.750000  0.02481028
58.766667  0.02476651
58.783333  0.02472258
58.800000  0.02467850
58.816667  0.02463426
58.833333  0.02458987
58.850000  0.02454532
58.866667  0.02450062
58.883333  0.02445576
58.900000  0.02441074
58.916667  0.02436557
58.933333  0.02432024
58.950000  0.02427476
58.966667  0.02422912
58.983333  0.02418333
59.000000  0.02413738
59.016667  0.02409127
59.033333  0.02404501
59.050000  0.02399859
59.066667  0.02395202
59.083333  0.02390529
59.100000  0.02385841
59.116667  0.02381137
59.133333  0.02376417
59.150000  0.02371682
59.166667  0.02366932
59.183333  0.02362165
59.200000  0.02357384
59.216667  0.02352586
59.233333  0.02347773
59.250000  0.02342945
59.266667  0.02338101
59.283333  0.02333241
59.300000  0.02328366
59.316667  0.02323475
59.333333  0.02318569
